neighbor_country_code,neighbor_country,line_name,germany_bus,neighbor_bus,rated_capacity_mva,used_apparent_power_mva,capacity_utilization_percent,net_export_from_germany_mw,flow_direction,line_capacity_share_within_border_percent,line_capacity_share_all_germany_borders_percent,loading_percent_pf
AT,Austria,4,DE0_25,AT0_0,3503.455780560384,2078.364568393106,59.32327103785131,2070.8621039769373,Germany export,20.0,5.263157894736842,59.32327103785132
AT,Austria,6,DE0_3,AT0_0,3503.455780560384,1304.4860553834956,37.23426630990161,1288.0082988317936,Germany export,20.0,5.263157894736842,37.23426630990161
AT,Austria,5,DE0_26,AT0_0,3503.455780560384,1160.3057812216757,33.11889328416421,1138.37402807824,Germany export,20.0,5.263157894736842,33.1188932841642
AT,Austria,3,DE0_13,AT0_0,3503.455780560384,1158.8741906429782,33.078031042184705,1130.489912970469,Germany export,20.0,5.263157894736842,33.078031042184705
AT,Austria,7,DE0_35,AT0_0,3503.455780560384,1092.7066609241672,31.18939496788473,1050.76607087629,Germany export,20.0,5.263157894736842,31.18939496788473
CH,Switzerland,16,DE0_14,CH0_0,3503.455780560384,2562.6921429953395,73.14755211739627,2558.5077138074225,Germany export,50.0,5.263157894736842,73.14755211739629
CH,Switzerland,17,DE0_35,CH0_0,3503.455780560384,2257.221217661184,64.42842036670825,2251.685293361865,Germany export,50.0,5.263157894736842,64.42842036670824
CZ,Czechia,21,DE0_8,CZ0_0,3503.455780560384,4358.013294683358,124.39184529928006,4294.177719746958,Germany export,50.0,5.263157894736842,124.39184529928009
CZ,Czechia,20,DE0_21,CZ0_0,3503.455780560384,2021.1625026679135,57.69053840732721,2017.9871845158807,Germany export,50.0,5.263157894736842,57.69053840732721
DK,Denmark,92,DE0_29,DK0_0,3503.455780560384,1213.8875027331187,34.64828953939173,-1175.376276894192,Germany import,33.33333333333333,5.263157894736842,34.64828953939175
DK,Denmark,93,DE0_29,DK0_0,3503.455780560384,1213.8875027331187,34.64828953939173,-1175.376276894192,Germany import,33.33333333333333,5.263157894736842,34.64828953939175
DK,Denmark,94,DE0_29,DK0_0,3503.455780560384,1213.8875027331187,34.64828953939173,-1175.376276894192,Germany import,33.33333333333333,5.263157894736842,34.64828953939175
FR,France,55,DE0_15,FR0_6,3503.455780560384,3994.599412361444,114.01883347654243,3993.106478468765,Germany export,50.0,5.263157894736842,114.01883347654245
FR,France,53,DE0_14,FR0_6,3503.455780560384,561.090220172067,16.01533615139049,-540.8035178645291,Germany import,50.0,5.263157894736842,16.01533615139049
NL,Netherlands,36,DE0_10,NL0_1,3503.455780560384,7355.108723898399,209.93867725431764,7253.654050995346,Germany export,33.33333333333333,5.263157894736842,209.93867725431764
NL,Netherlands,103,DE0_4,NL0_1,3503.455780560384,3331.112999306111,95.0807776079107,-3161.9024416019315,Germany import,33.33333333333333,5.263157894736842,95.08077760791072
NL,Netherlands,104,DE0_9,NL0_1,3503.455780560384,2385.630402873507,68.09363532174856,-2326.153166066469,Germany import,33.33333333333333,5.263157894736842,68.09363532174856
PL,Poland,100,DE0_34,PL0_2,3503.455780560384,3755.1676097753525,107.18467264840737,3716.73742687049,Germany export,50.0,5.263157894736842,107.18467264840737
PL,Poland,77,DE0_22,PL0_2,3503.455780560384,2192.160897308397,62.571387641654695,2190.0266158964487,Germany export,50.0,5.263157894736842,62.57138764165471
